epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,2229.85,0.62823,0.39974,0.80786,0.78542,0.58417,0.67104,0.55223,0.71014,0.76258,0.81447,0.000155643,0.000155643,0.000155643
70,2256.03,0.61125,0.39145,0.80676,0.72439,0.61208,0.69611,0.584,0.65938,0.71824,0.80431,0.0001548,0.0001548,0.0001548
71,2281.1,0.609,0.38399,0.80375,0.74707,0.6768,0.7017,0.58163,0.68945,0.66733,0.80854,0.000153956,0.000153956,0.000153956
72,2312.51,0.63758,0.38515,0.81058,0.6817,0.68867,0.69648,0.58262,0.65649,0.75809,0.80496,0.000153113,0.000153113,0.000153113
73,2344.98,0.61683,0.37032,0.81457,0.64384,0.72193,0.71248,0.58396,0.76258,0.76402,0.82153,0.000152269,0.000152269,0.000152269
74,2376.98,0.6349,0.38409,0.81405,0.709,0.67397,0.70991,0.59032,0.70895,0.72631,0.80779,0.000151426,0.000151426,0.000151426
75,2409.85,0.62555,0.38138,0.79803,0.74271,0.68448,0.72708,0.61477,0.62275,0.67823,0.80306,0.000150582,0.000150582,0.000150582
76,2443.71,0.61258,0.38565,0.79582,0.80125,0.5794,0.71252,0.59206,0.75144,0.74013,0.81733,0.000149739,0.000149739,0.000149739
77,2476.28,0.60847,0.37645,0.80678,0.79629,0.56547,0.68868,0.57251,0.70754,0.76307,0.81871,0.000148896,0.000148896,0.000148896
78,2510.06,0.59624,0.3726,0.8096,0.83054,0.584,0.69918,0.58715,0.64647,0.73813,0.80127,0.000148052,0.000148052,0.000148052
79,2543.16,0.61372,0.38128,0.8033,0.74241,0.63797,0.7084,0.60002,0.6058,0.72015,0.79461,0.000147209,0.000147209,0.000147209
80,2574.11,0.61218,0.36999,0.79673,0.70874,0.64838,0.71565,0.6147,0.60995,0.72583,0.79961,0.000146365,0.000146365,0.000146365
81,2602.58,0.65399,0.38273,0.79825,0.7402,0.60942,0.70875,0.5625,0.86471,0.72396,0.8324,0.000145522,0.000145522,0.000145522
82,2633.51,0.6718,0.38377,0.81385,0.73471,0.5976,0.68952,0.55937,0.77197,0.72663,0.82124,0.000144678,0.000144678,0.000144678
83,2663.15,0.59393,0.35762,0.8106,0.67052,0.63758,0.70293,0.5804,0.69398,0.6839,0.81295,0.000143835,0.000143835,0.000143835
84,2692.35,0.57242,0.35578,0.80107,0.67234,0.64765,0.71333,0.59445,0.69361,0.69933,0.81061,0.000142991,0.000142991,0.000142991
85,2723.28,0.57873,0.35388,0.80165,0.75785,0.59589,0.70976,0.59357,0.72129,0.72367,0.814,0.000142148,0.000142148,0.000142148
86,2756.69,0.58571,0.35687,0.80135,0.75663,0.63998,0.72732,0.59994,0.70813,0.75508,0.80699,0.000141304,0.000141304,0.000141304
87,2790.27,0.60168,0.35281,0.8023,0.83114,0.61836,0.73633,0.62533,0.64758,0.71524,0.80521,0.000140461,0.000140461,0.000140461
88,2822.11,0.58243,0.34311,0.8022,0.74116,0.65777,0.73211,0.59693,0.72702,0.70156,0.8142,0.000139617,0.000139617,0.000139617
89,2854.79,0.57801,0.35804,0.78903,0.82577,0.62465,0.73281,0.61666,0.63881,0.6708,0.80438,0.000138774,0.000138774,0.000138774
90,2887.57,0.57751,0.35028,0.79873,0.77669,0.64478,0.73612,0.61579,0.64915,0.65369,0.79873,0.00013793,0.00013793,0.00013793
91,2919.82,0.58052,0.34757,0.80208,0.82788,0.64807,0.7313,0.60309,0.71438,0.65273,0.82838,0.000137087,0.000137087,0.000137087
92,2953.51,0.55837,0.33704,0.81102,0.66471,0.66811,0.72885,0.60223,0.68925,0.72311,0.80471,0.000136243,0.000136243,0.000136243
93,2986.08,0.58261,0.33813,0.79571,0.86069,0.5997,0.7094,0.59599,0.7239,0.71184,0.81963,0.0001354,0.0001354,0.0001354
94,3019.33,0.55027,0.32503,0.80245,0.69799,0.67265,0.72851,0.6181,0.6272,0.68006,0.79764,0.000134556,0.000134556,0.000134556
