epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,1675.3,0.76918,0.55101,0.83549,0.69202,0.60581,0.64937,0.51588,0.79201,0.90042,0.82453,0.000169139,0.000169139,0.000169139
54,1704.65,0.74421,0.51001,0.82097,0.69021,0.63044,0.65478,0.53738,0.67409,0.88911,0.80663,0.000168296,0.000168296,0.000168296
55,1733.85,0.73695,0.53697,0.82662,0.61614,0.61435,0.6633,0.53543,0.73335,0.97917,0.8152,0.000167452,0.000167452,0.000167452
56,1763.88,0.75141,0.51505,0.83404,0.64773,0.61718,0.6396,0.50314,0.804,0.89403,0.82489,0.000166609,0.000166609,0.000166609
57,1793.31,0.72973,0.48738,0.81442,0.61654,0.63766,0.65587,0.514,0.8286,0.89001,0.82632,0.000165765,0.000165765,0.000165765
58,1822.88,0.72809,0.49394,0.83139,0.65982,0.64014,0.65869,0.53497,0.72591,0.85842,0.81741,0.000164922,0.000164922,0.000164922
59,1851.65,0.74817,0.49528,0.81787,0.69444,0.52088,0.61038,0.47635,0.81402,1.00902,0.83196,0.000164078,0.000164078,0.000164078
60,1878.54,0.74521,0.52283,0.82394,0.64468,0.66854,0.64599,0.48889,0.96436,0.95208,0.84432,0.000163235,0.000163235,0.000163235
61,1902.31,0.74289,0.48634,0.8131,0.73726,0.55355,0.63709,0.50704,0.80547,0.93383,0.82217,0.000162391,0.000162391,0.000162391
62,1930.04,0.72172,0.48512,0.83119,0.70832,0.57392,0.64859,0.51907,0.69142,0.87194,0.80646,0.000161548,0.000161548,0.000161548
63,1958.73,0.72929,0.50871,0.82281,0.69382,0.54916,0.6169,0.49794,0.68888,0.95792,0.80277,0.000160704,0.000160704,0.000160704
64,1989.79,0.69268,0.48535,0.82174,0.65842,0.61458,0.64019,0.52121,0.71478,0.84341,0.80625,0.000159861,0.000159861,0.000159861
65,2023.05,0.72652,0.48792,0.82872,0.59434,0.61342,0.6539,0.51173,0.82259,0.86835,0.82194,0.000159017,0.000159017,0.000159017
66,2055.42,0.72344,0.49264,0.81365,0.63882,0.57782,0.63488,0.49924,0.75094,0.94692,0.81003,0.000158174,0.000158174,0.000158174
67,2088.32,0.6872,0.48059,0.82123,0.6439,0.61644,0.62045,0.49091,0.75342,0.88467,0.81102,0.00015733,0.00015733,0.00015733
68,2114.96,0.70126,0.46093,0.8251,0.67076,0.61256,0.65541,0.53292,0.71099,0.80992,0.80867,0.000156487,0.000156487,0.000156487
69,2140.92,0.67369,0.43905,0.81464,0.69915,0.55332,0.6336,0.52067,0.69278,0.92716,0.80552,0.000155643,0.000155643,0.000155643
70,2167.13,0.67567,0.42902,0.82123,0.61577,0.62818,0.64514,0.50668,0.81745,0.87444,0.82252,0.0001548,0.0001548,0.0001548
71,2193.46,0.69655,0.45429,0.81507,0.70037,0.54811,0.62879,0.49025,0.8361,0.97205,0.82902,0.000153956,0.000153956,0.000153956
72,2219.57,0.68575,0.45194,0.81316,0.67294,0.58471,0.64681,0.51727,0.78783,0.89126,0.82077,0.000153113,0.000153113,0.000153113
73,2246.22,0.67667,0.43499,0.82154,0.62082,0.59017,0.65503,0.53458,0.6677,0.8615,0.80064,0.000152269,0.000152269,0.000152269
74,2272.56,0.68202,0.45718,0.8137,0.7333,0.54705,0.65287,0.53936,0.66676,0.90343,0.80081,0.000151426,0.000151426,0.000151426
75,2299.14,0.67326,0.44143,0.81115,0.60659,0.64502,0.65318,0.54509,0.65872,0.89788,0.80404,0.000150582,0.000150582,0.000150582
76,2325.57,0.68183,0.47144,0.81865,0.63998,0.64,0.65256,0.51654,0.78131,0.91326,0.81057,0.000149739,0.000149739,0.000149739
77,2354.21,0.66983,0.45573,0.80843,0.77041,0.60746,0.65525,0.53678,0.71884,0.87559,0.80702,0.000148896,0.000148896,0.000148896
78,2383.96,0.64995,0.41475,0.82001,0.76133,0.58866,0.65641,0.54829,0.65642,0.84916,0.79853,0.000148052,0.000148052,0.000148052
79,2413.34,0.65842,0.44903,0.80809,0.77304,0.54968,0.64595,0.53585,0.63888,0.84129,0.79703,0.000147209,0.000147209,0.000147209
80,2439.64,0.63432,0.43081,0.81005,0.59817,0.65417,0.66559,0.55391,0.67271,0.82432,0.80309,0.000146365,0.000146365,0.000146365
81,2465.98,0.65732,0.42665,0.79742,0.76166,0.56933,0.65723,0.5287,0.76571,0.80271,0.81032,0.000145522,0.000145522,0.000145522
82,2491.55,0.641,0.42217,0.80712,0.69875,0.65403,0.66439,0.53521,0.77554,0.81453,0.8178,0.000144678,0.000144678,0.000144678
83,2518.01,0.62148,0.4029,0.80698,0.7625,0.60318,0.69642,0.57299,0.67918,0.77582,0.80203,0.000143835,0.000143835,0.000143835
84,2544.71,0.65117,0.39705,0.81009,0.7218,0.59515,0.65498,0.54146,0.74478,0.82857,0.81261,0.000142991,0.000142991,0.000142991
85,2573.32,0.66082,0.42167,0.80579,0.72808,0.57968,0.68659,0.55712,0.71007,0.83698,0.81119,0.000142148,0.000142148,0.000142148
86,2603.03,0.68947,0.42519,0.81925,0.73771,0.57562,0.67031,0.55951,0.62743,0.83043,0.79637,0.000141304,0.000141304,0.000141304
87,2632.6,0.69811,0.40658,0.81173,0.67445,0.62358,0.66669,0.5569,0.63704,0.82483,0.80096,0.000140461,0.000140461,0.000140461
88,2662.57,0.67164,0.39217,0.81729,0.67924,0.59146,0.65877,0.52772,0.75747,0.84887,0.81408,0.000139617,0.000139617,0.000139617
89,2692.64,0.65806,0.39621,0.8131,0.63838,0.63737,0.66415,0.52362,0.804,0.83766,0.81969,0.000138774,0.000138774,0.000138774
90,2722.57,0.68436,0.40045,0.82092,0.66765,0.61683,0.65421,0.5494,0.60255,0.79853,0.79345,0.00013793,0.00013793,0.00013793
91,2754.46,0.66112,0.40226,0.81903,0.70661,0.59408,0.65806,0.55229,0.63496,0.79907,0.80047,0.000137087,0.000137087,0.000137087
92,2787.03,0.60201,0.37987,0.81134,0.73323,0.60212,0.65269,0.53316,0.69358,0.87644,0.80558,0.000136243,0.000136243,0.000136243
93,2816.99,0.63064,0.38533,0.8037,0.72275,0.60707,0.6483,0.53768,0.65584,0.83127,0.80227,0.0001354,0.0001354,0.0001354
94,2845.44,0.59037,0.37119,0.80219,0.68327,0.60702,0.62803,0.5127,0.6808,0.92439,0.80075,0.000134556,0.000134556,0.000134556
95,2874.55,0.64243,0.38603,0.80682,0.74793,0.58224,0.63996,0.53703,0.66457,0.84965,0.80344,0.000133713,0.000133713,0.000133713
96,2903.32,0.67265,0.39712,0.80383,0.71522,0.57469,0.654,0.53138,0.70671,0.8517,0.80545,0.000132869,0.000132869,0.000132869
97,2933.05,0.65965,0.38318,0.81731,0.68413,0.61138,0.65237,0.53204,0.68598,0.83309,0.80521,0.000132026,0.000132026,0.000132026
98,2962.27,0.63032,0.36665,0.81237,0.6673,0.62646,0.64935,0.53784,0.62763,0.8182,0.79315,0.000131182,0.000131182,0.000131182
99,2988.96,0.65311,0.38634,0.80331,0.67293,0.63104,0.65672,0.55508,0.60232,0.82132,0.79355,0.000130339,0.000130339,0.000130339
100,3018.58,0.61813,0.36678,0.81168,0.70083,0.59676,0.64063,0.52718,0.65603,0.87965,0.8016,0.000129495,0.000129495,0.000129495
101,3045.17,0.60551,0.37916,0.80086,0.67388,0.6001,0.64825,0.5424,0.61355,0.85048,0.79414,0.000128652,0.000128652,0.000128652
102,3070.64,0.61281,0.37198,0.80781,0.64659,0.6689,0.65788,0.54425,0.66353,0.85261,0.80072,0.000127809,0.000127809,0.000127809
103,3096.45,0.57935,0.36334,0.80275,0.67037,0.65163,0.65744,0.54336,0.62207,0.84419,0.79506,0.000126965,0.000126965,0.000126965
104,3125.27,0.58554,0.36179,0.80243,0.70407,0.63279,0.67465,0.55097,0.70704,0.87406,0.81292,0.000126122,0.000126122,0.000126122
105,3153.62,0.56574,0.35809,0.79676,0.75293,0.5866,0.65858,0.55433,0.62766,0.86004,0.7963,0.000125278,0.000125278,0.000125278
106,3182.18,0.58151,0.37419,0.79212,0.70119,0.60079,0.6289,0.52636,0.6269,0.85873,0.79985,0.000124435,0.000124435,0.000124435
107,3215.66,0.57005,0.35576,0.8084,0.67336,0.63629,0.63975,0.54077,0.61821,0.91128,0.79897,0.000123591,0.000123591,0.000123591
108,3250.43,0.57891,0.35798,0.79703,0.68495,0.57206,0.62333,0.52656,0.63614,0.90703,0.79908,0.000122748,0.000122748,0.000122748
